start_day,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Cote d'Ivoire,Democratic Republic of the Congo,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malawi,Mali,Mauritania,Morocco,Mozambique,Namibia,Niger,Nigeria,Republic of Congo,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,The Gambia,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2020-03-28,7.6434862455351995,5.174527429249843,3.061194124028822,4.392150193871166,3.1280622121013675,2.1643409573769414,4.669738743823365,2.6033131256919475,1.990345340466616,5.255985424082887,4.96611038581727,3.328986138452761,6.476088967273297,0.9247829422499149,7.958556692302979,4.306609203878489,7.1906523204726565,5.393154523664227,7.810381500459929,3.427317512149998,2.97321579068159,7.0057964738522704,5.154046503846987,3.0568762056774097,4.7558914609239045,8.473743685584598,5.674470361057104,5.854571012006973,1.9434876313314369,7.421032314794323,4.052391235680802,4.261865440960438,6.456696658276482,3.574234264199962,1.216810678194625,9.916397399627742,2.8261301948586106,4.121949244216366,5.971648908850428,1.0678962263084117,5.175440988526563,3.9206447274817866,4.5182505978823695,4.28860844620173,6.7340082039973215,5.907546373792502
2020-04-04,7.642814558754873,5.167818741757477,3.045830969067909,4.512968483417229,3.1273597993534983,2.160751205049806,4.6599061958746875,2.5951182954175347,2.005172495545454,5.2619052271715026,4.950840575496664,3.3028612618309117,6.473830324073817,0.902144240633638,7.9551736306088365,4.297556854687428,7.191496831451609,5.389107092908808,7.818046875677334,3.6664602421320285,2.9696833765347157,7.00484602999346,5.1595388167535,3.054956962588665,4.770391093884064,8.474909316163385,5.688216828090022,5.868106546542114,1.9202999363180557,7.422234666642487,4.042295398028129,4.279273922541043,6.471699054846055,3.57037812179351,1.2051965715332726,9.922378536282192,2.8358453743818792,4.121017936452317,5.963878550750255,1.0024907623714003,5.184329996916182,3.920370035455424,4.546276058004996,4.288245908368409,6.7331390747460516,5.907979924404978
2020-04-11,7.65200111610351,5.170601182830261,3.029681028722202,4.532132591629031,3.125439858084023,2.1608729983247312,4.651950970940103,2.592905362445467,2.0030412181350217,5.263537223220879,4.958323243285245,3.2963669878069357,6.479913501640112,0.9019797221892291,7.962250374519262,4.2833917077641654,7.194942940569586,5.390096485913244,7.8253112072145905,3.6326657367068984,2.9690086729883514,7.011443845515814,5.167890039399051,3.0607238360132323,4.768708464285584,8.485581446960069,5.699020611846796,5.859781866313581,1.9173963501845976,7.428295018324639,4.034936196995234,4.286131979379078,6.466440617382182,3.5748716985120454,1.2045029377602225,9.928831710908128,2.833434163961864,4.1155176979569505,5.974243219882547,1.0233853809198001,5.176392216893716,3.9273563123739224,4.551832120629447,4.295645158208685,6.738379909945991,5.914593231207113
2020-04-18,7.653451500037562,5.173787561365095,3.033437386363568,4.554969634231433,3.1258831808819827,2.1597319154092998,4.652992489508923,2.5880662415865547,2.005328422544344,5.262303652504117,4.957662685759554,3.2825081242957905,6.481322310332839,0.9021047818507302,7.959351845995345,4.279082125026031,7.197507447610462,5.390573463819589,7.822868410563656,3.680949849699213,2.971669702177455,7.0090449199695115,5.171135532528952,3.0561736747823716,4.771888193667051,8.486516415040072,5.699472956480379,5.856890182584301,1.907206387369106,7.428375118117089,4.032206375794254,4.307130800794809,6.463919226578058,3.5721695233521356,1.1785489302069632,9.92930294879074,2.837804535580857,4.114984644899447,5.968829008972635,0.9789058040131409,5.173952641391688,3.9249580674158895,4.571516413864708,4.295329950306382,6.735748896265148,5.912304436587318
2020-04-25,7.653145069111044,5.180826138926879,3.040584473257027,4.501466556788191,3.125381700219032,2.152650690036805,4.649864499241559,2.5892458783553334,2.0083369787163705,5.266048225679374,4.957839312493164,3.2970574460981243,6.482952720621121,0.9027306261255785,7.955868247896369,4.281971858776818,7.194516710764237,5.391143991530824,7.824370557454762,3.6940949339155655,2.9757707424974176,7.0092747789874545,5.168598708177663,3.05551949444064,4.772737975601329,8.493695115795719,5.712447208121434,5.856182181960856,1.8939919533749736,7.431715424843867,4.035616715206304,4.3309317720996905,6.482564451385312,3.5716294466887404,1.1285100529054104,9.92905216940752,2.840793030209412,4.111993727043583,5.979396713915168,0.878872510602349,5.16761649296547,3.9256774084182307,4.559902310177873,4.298005968427655,6.737771542807361,5.917989207649892
2020-05-02,7.651415403446058,5.173905827528923,3.050978168276542,4.4043504243487295,3.1257148921278595,2.138787994981558,4.652772228978876,2.593332963973623,2.010952788772316,5.269522568511534,4.951026906041175,3.29734706589804,6.483355072972359,0.8968186782845137,7.951415142055821,4.282760151713707,7.187449753289045,5.388708993193199,7.822773739537296,3.826746034105354,2.9708281474847977,7.008797611442157,5.1773860910334575,3.0552126779541156,4.779839892902753,8.484257500500913,5.724778697667601,5.86224679260727,1.8844134863632445,7.435133877990662,4.022994217798782,4.310961410672657,6.4856809875496095,3.5709137792489165,1.1171328366036044,9.93218166040858,2.835043968239055,4.113686281939929,5.999841523196693,0.8784618742988152,5.169497213005712,3.92931272619274,4.580325457764069,4.29806548238072,6.73837997419926,5.915525834413966
2020-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
